#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-02-29T22:45:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56d4b2251d72	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#Plx=25 .. 772.33
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#HIP|Vmag|Plx|B-V
# |mag|mas|mag
#------|-----|-------|------
    57| 8.27|  33.89| 0.863
    58| 7.05|  26.06| 0.520
    68| 8.79|  31.80| 0.940
   111|11.28|  27.11| 1.308
   112|10.76|  31.35| 1.384
   169| 9.24|  63.03| 1.390
   171| 5.80|  80.63| 0.690
   184| 8.48|  29.75| 0.888
   194| 5.70|  26.53| 0.315
   263|12.04|  32.93| 1.473
   296| 8.24|  25.29| 0.780
   394| 6.09|  27.18| 0.632
   400| 7.82|  39.06| 0.755
   428| 9.95|  86.98| 1.472
   436| 8.49|  62.48| 1.076
   443| 4.61|  25.38| 1.029
   439| 8.56| 229.33| 1.462
   473| 8.20|  85.10| 1.410
   493| 7.45|  26.24| 0.596
   495| 8.58|  25.77| 0.920
   518| 5.98|  49.30| 0.687
   522| 5.70|  39.00| 0.519
   523|12.17|  56.92| 1.550
   544| 6.07|  72.98| 0.752
   560| 6.19|  25.59| 0.386
   616| 8.70|  30.76| 0.798
   669| 7.04|  36.18| 0.624
   677| 2.07|  33.60|-0.038
   682| 7.59|  25.15| 0.626
   687|10.73|  45.64| 1.460
   699| 6.21|  30.26| 0.504
   723| 8.57|  31.34| 0.885
   738|11.73|  42.82| 1.493
   746| 2.28|  59.89| 0.380
   897|10.86|  39.19| 1.418
   910| 4.89|  52.94| 0.487
   916| 9.50|  35.69| 1.254
   919| 7.95|  29.35| 0.755
   934| 9.04|  27.46| 0.891
   948| 9.92|  29.15| 1.071
   950| 5.24|  45.85| 0.459
   974| 8.73|  38.88| 1.045
  1006|11.67|  34.54| 1.480
  1031| 7.22|  49.18| 0.775
  1044|10.74|  27.50| 1.308
  1068|12.49|  37.30| 1.400
  1078| 9.86|  28.30| 1.190
  1083|10.77|  36.74| 1.444
  1085| 9.05|  30.00| 0.913
  1086| 5.71|  28.57| 0.331
  1092|11.14|  51.12| 1.556
  1242|11.49| 191.86| 1.750
  1276|11.58|  41.32| 1.647
  1292| 6.59|  56.76| 0.749
  1295|11.79|  49.91| 1.485
  1322|12.38|  44.82| 1.530
  1347| 8.67|  30.00| 0.855
  1349| 6.84|  43.45| 0.655
  1368| 8.99|  66.71| 1.370
  1382| 7.96|  27.32| 0.651
  1386|11.54|  42.65| 1.505
  1412|10.99|  28.38| 1.414
  1444| 6.51|  38.24| 0.599
  1463|10.88|  61.67| 1.479
  1475| 8.09| 280.27| 1.560
  1499| 6.47|  42.67| 0.674
  1532| 9.90|  48.17| 1.318
  1539|10.93|  31.24| 1.375
  1546|12.46|  33.85|
  1598| 6.97|  40.25| 0.640
  1599| 4.23| 116.38| 0.576
  1608|11.67|  39.31| 1.490
  1663| 9.30|  46.72| 0.362
  1674| 7.91|  31.49| 0.815
  1692| 9.19|  43.42| 1.354
  1696|10.41|  55.68| 1.475
  1720|12.21|  50.10| 1.537
  1734|11.16|  54.91| 1.485
  1768| 8.30|  44.57| 0.888
  1803| 6.39|  49.05| 0.659
  1837| 8.74|  44.97| 1.075
  1842|11.87|  47.40| 1.516
  1860|11.31|  50.71| 1.462
  1936| 7.92|  55.53| 0.940
  1954| 7.27|  36.15| 0.681
  1955| 6.81|  28.91| 0.596
  1993|11.26|  26.69| 1.350
  2021| 2.82| 133.78| 0.618
  2072| 3.93|  42.51| 0.175
  2081| 2.40|  42.14| 1.083
  2120|10.52|  61.39| 1.459
  2235| 6.05|  27.51| 0.447
  2237| 6.44|  31.01| 0.594
  2247| 9.62|  26.64| 1.128
  2364|10.10|  25.04| 1.080
  2397| 9.22|  29.34| 0.930
  2422| 6.18|  25.37| 0.883
  2426|10.63|  36.36| 1.359
  2540| 9.65|  38.85| 1.367
  2552|10.27|  98.74| 1.520
  2604|10.94|  29.26| 1.311
  2663| 6.41|  27.63| 0.617
  2711| 5.57|  39.03| 0.472
  2725| 9.48|  26.98| 1.000
  2742| 8.02|  34.52| 0.870
  2743| 8.55|  34.04| 0.854
  2762| 5.20|  47.51| 0.567
  2790| 7.45|  34.30| 0.726
  2802| 5.51|  27.61| 0.461
  2832| 6.32|  26.59| 0.517
  2839|11.21|  28.51| 1.392
  2941| 5.57|  64.38| 0.715
  3008|10.48|  43.40| 1.424
  3053| 7.74|  26.42| 0.754
  3092| 3.27|  32.19| 1.268
  3093| 5.88|  90.03| 0.850
  3121|10.50|  30.52| 1.143
  3132| 6.38|  30.95| 0.551
  3143|11.41|  43.64| 1.476
  3170| 5.89|  39.26| 0.564
  3185| 6.14|  35.02| 0.718
  3203| 7.02|  38.65| 0.620
  3206| 7.36|  57.90| 0.937
  3236| 6.52|  29.99| 0.528
  3249|10.67|  30.07| 1.176
  3261|10.58|  50.29| 1.432
  3340| 8.45|  30.82| 0.848
  3362|10.37|  42.03| 1.460
  3378|11.55|  35.58| 1.440
  3418| 8.73|  48.16| 1.130
  3419| 2.04|  34.04| 1.019
  3479| 7.78|  30.58| 0.664
  3493|10.74|  29.58| 1.406
  3497| 6.55|  45.76| 0.655
  3505| 5.22|  35.92| 0.350
  3533| 7.19|  26.87| 0.760
  3535| 8.03|  45.43| 0.983
  3556|11.91|  25.97| 1.480
  3559| 6.15|  31.39| 0.603
  3571|10.99|  27.96| 0.668
  3578| 7.88|  25.89| 0.677
  3583| 5.80|  66.92| 0.635
  3588| 7.89|  62.41| 1.251
  3618|10.74|  25.74|
  3645| 7.57|  35.74| 0.822
  3757|12.05|  38.91| 1.506
  3765| 5.74| 134.04| 0.890
  3810| 5.07|  41.80| 0.502
  3813|10.76|  46.32| 1.426
  3821| 3.46| 167.99| 0.587
  3829|12.37| 226.95| 0.554
  3850| 7.15|  53.09| 0.769
  3876| 7.75|  46.47| 0.900
  3879| 9.50|  35.95| 1.157
  3909| 5.17|  64.69| 0.514
  3937|12.01|  83.20|
