#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-02-29T21:59:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56d4b2251d72	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#Vmag=-1.44 .. 6.0
#-out=Plx
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#HIP|Vmag|Plx|B-V
# |mag|mas|mag
#------|-----|-------|------
    88| 5.71|   5.97| 0.911
   107| 5.53|   5.84| 1.615
   122| 4.78|  14.77| 1.254
   124| 5.58|   0.86| 0.407
   145| 5.13|   7.98|-0.128
   154| 4.37|   7.86| 1.631
   171| 5.80|  80.63| 0.690
   183| 5.04|   6.40|-0.150
   194| 5.70|  26.53| 0.315
   207| 5.87|   1.57| 1.073
   301| 4.55|  14.31|-0.047
   330| 5.90|   0.89| 0.274
   343| 5.78|  11.29| 1.084
   355| 4.99|   2.03| 1.619
   377| 5.59|   5.70|-0.100
   379| 5.68|  10.30| 1.051
   418| 5.80|   4.50|-0.067
   443| 4.61|  25.38| 1.029
   476| 5.55|   8.75| 0.901
   518| 5.98|  49.30| 0.687
   522| 5.70|  39.00| 0.519
   531| 5.57|   3.32|-0.023
   636| 5.93|  12.45| 0.141
   655| 5.67|  10.02| 1.119
   671| 5.99|   9.79| 1.034
   677| 2.07|  33.60|-0.038
   729| 5.57|  11.17| 1.043
   746| 2.28|  59.89| 0.380
   761| 5.42|  14.57| 0.414
   765| 3.88|  23.28| 1.013
   813| 5.54|  10.04|-0.064
   814| 5.29|  13.45| 1.049
   840| 5.84|  18.18| 0.973
   841| 5.01|   3.24| 0.405
   873| 5.84|  15.35| 1.000
   910| 4.89|  52.94| 0.487
   930| 5.41|   5.61| 1.346
   950| 5.24|  45.85| 0.459
   983| 5.29|   5.33| 1.478
  1067| 2.83|   9.79|-0.190
  1074| 5.78|   4.00| 1.710
  1086| 5.71|  28.57| 0.331
